# Starter shortcuts for Keycap Atlas. One per line:  app | os | keys | action | note | tags
# os: win, mac, linux, any.  Keys: join simultaneous keys with +, separate steps with a space.

Windows 11 | win | Win+E | Open File Explorer | | system
Windows 11 | win | Win+D | Show or hide the desktop | | system, windows
Windows 11 | win | Win+L | Lock the PC | | system
Windows 11 | win | Win+V | Clipboard history | Turn it on the first time it asks | editing
Windows 11 | win | Win+Shift+S | Snip a screenshot | Opens the Snipping Tool overlay | screenshot
Windows 11 | win | Win+. | Emoji, GIF and symbol picker | | editing
Windows 11 | win | Win+Tab | Task View: desktops and open windows | | windows
Windows 11 | win | Alt+Tab | Switch between open apps | Hold Alt and keep tapping Tab | windows
Windows 11 | win | Win+Left | Snap the window to the left half | Win+Right for the right half; then Win+Up or Down for quarters | windows
Windows 11 | win | Win+Z | Snap layouts menu | | windows
Windows 11 | win | Win+I | Open Settings | | system
Windows 11 | win | Ctrl+Shift+Esc | Task Manager, directly | | system
Windows 11 | win | Win+X | Quick Link menu: Terminal, Device Manager, Disk Management | | system
Windows 11 | win | Win+1 | Open the first pinned taskbar app | Win+2, Win+3 … for the rest | apps
Windows 11 | win | Win+Ctrl+D | New virtual desktop | | desktops
Windows 11 | win | Win+Ctrl+Right | Switch to the next virtual desktop | Win+Ctrl+Left goes back | desktops
Windows 11 | win | Win+A | Quick Settings: Wi-Fi, volume, brightness | | system
Windows 11 | win | Win+N | Notification centre and calendar | | system
Windows 11 | win | Win+H | Voice typing | | editing
Windows 11 | win | Win+K | Cast to a wireless display | | display
Windows 11 | win | Win+P | Choose a display mode: duplicate, extend | | display
Windows 11 | win | Alt+F4 | Close the active window | From the desktop it opens the Shut Down dialog | windows
Windows 11 | win | Win+R | Run dialog | | system
Windows 11 | win | Win+M | Minimise all windows | Win+Shift+M restores them | windows
Windows 11 | win | Win+G | Game Bar: screen recording, performance overlay | | screenshot
Windows 11 | win | Win+Space | Switch keyboard layout or input language | | system
Windows 11 | win | Win+PrtScn | Screenshot straight to Pictures\Screenshots | | screenshot
Windows 11 | win | Ctrl+Shift+N | New folder in File Explorer | | files
Windows 11 | win | Alt+Enter | Properties of the selected file | In File Explorer | files
Windows 11 | win | Win+Ctrl+Shift+B | Restart the graphics driver | Fixes a black or frozen screen without rebooting | system

macOS | mac | Cmd+Space | Spotlight search | | system
macOS | mac | Cmd+Tab | Switch between apps | | windows
macOS | mac | Cmd+` | Switch between windows of the same app | | windows
macOS | mac | Cmd+Shift+3 | Screenshot of the whole screen | | screenshot
macOS | mac | Cmd+Shift+4 | Screenshot of a selected area | Press Space afterwards to capture a whole window | screenshot
macOS | mac | Cmd+Shift+5 | Screenshot and screen-recording toolbar | | screenshot
macOS | mac | Cmd+Ctrl+Q | Lock the screen | | system
macOS | mac | Cmd+Q | Quit the app | | windows
macOS | mac | Cmd+W | Close the window or tab | | windows
macOS | mac | Cmd+H | Hide the app | Cmd+Opt+H hides every other app | windows
macOS | mac | Cmd+, | App settings | | system
macOS | mac | Cmd+Opt+Esc | Force Quit | | system
macOS | mac | Ctrl+Up | Mission Control | | windows
macOS | mac | Ctrl+Cmd+Space | Emoji and symbols | | editing
macOS | mac | Cmd+Shift+. | Show hidden files in Finder | | files
macOS | mac | Ctrl+Cmd+F | Toggle full screen | | windows
macOS | mac | Cmd+Delete | Move the selected file to the Trash | Cmd+Shift+Delete empties the Trash | files
macOS | mac | Cmd+Opt+D | Show or hide the Dock | | system
macOS | mac | Cmd+Shift+N | New folder in Finder | | files
macOS | mac | Cmd+Opt+V | Move the copied files here | Cut-and-paste for Finder, after Cmd+C | files

VS Code | win | Ctrl+Shift+P | Command Palette | F1 works too. On a Mac use ⌘ wherever these say Ctrl | navigation
VS Code | win | Ctrl+P | Quick Open a file by name | | navigation
VS Code | win | Ctrl+` | Toggle the integrated terminal | Ctrl+Shift+` opens a new one | terminal
VS Code | win | Ctrl+B | Toggle the sidebar | | layout
VS Code | win | Ctrl+Shift+E | Explorer view | | navigation
VS Code | win | Ctrl+Shift+F | Find in all files | | search
VS Code | win | Ctrl+Shift+G | Source Control view | | git
VS Code | win | Ctrl+D | Add the next occurrence to the selection | | editing, multicursor
VS Code | win | Ctrl+Shift+L | Select every occurrence of the selection | | editing, multicursor
VS Code | win | Ctrl+Alt+Down | Add a cursor on the line below | Alt+Click adds one anywhere | editing, multicursor
VS Code | win | Alt+Up | Move the line up | Alt+Down moves it down | editing
VS Code | win | Shift+Alt+Down | Copy the line down | | editing
VS Code | win | Ctrl+/ | Toggle line comment | | editing
VS Code | win | Ctrl+Shift+K | Delete the line | | editing
VS Code | win | Ctrl+Shift+Enter | Insert a line above | Ctrl+Enter inserts below | editing
VS Code | win | F2 | Rename the symbol everywhere | | refactor
VS Code | win | F12 | Go to definition | Alt+F12 peeks it inline | navigation
VS Code | win | Ctrl+Shift+O | Go to a symbol in this file | | navigation
VS Code | win | Ctrl+T | Go to a symbol in the workspace | | navigation
VS Code | win | Ctrl+G | Go to line | | navigation
VS Code | win | Shift+Alt+F | Format the document | | editing
VS Code | win | Ctrl+. | Quick Fix and code actions | | refactor
VS Code | win | Ctrl+Space | Trigger suggestions | | editing
VS Code | win | Ctrl+\ | Split the editor | | layout
VS Code | win | Ctrl+1 | Focus editor group 1 | Ctrl+2, Ctrl+3 for the others | layout
VS Code | win | Ctrl+Tab | Cycle through open editors | | navigation
VS Code | win | Ctrl+Shift+T | Reopen the closed editor | | navigation
VS Code | win | Ctrl+K Ctrl+S | Keyboard Shortcuts editor | | settings
VS Code | win | Ctrl+K Z | Zen mode | Esc Esc leaves it | layout
VS Code | win | Ctrl+Shift+M | Problems panel | | debug
VS Code | win | Ctrl+Shift+[ | Fold the region | Ctrl+Shift+] unfolds | editing
VS Code | win | Ctrl+Shift+V | Markdown preview | Ctrl+K V opens it to the side | markdown
VS Code | win | Ctrl+K Ctrl+T | Choose a colour theme | | settings

Chrome | win | Ctrl+T | New tab | | tabs
Chrome | win | Ctrl+W | Close the tab | | tabs
Chrome | win | Ctrl+Shift+T | Reopen the last closed tab | Keep pressing for older ones | tabs
Chrome | win | Ctrl+L | Jump to the address bar | Alt+D does the same | navigation
Chrome | win | Ctrl+Tab | Next tab | Ctrl+Shift+Tab goes back | tabs
Chrome | win | Ctrl+1 | Jump to tab 1 | Through Ctrl+8; Ctrl+9 is always the last tab | tabs
Chrome | win | Ctrl+N | New window | | windows
Chrome | win | Ctrl+Shift+N | New Incognito window | | windows
Chrome | win | Ctrl+D | Bookmark this page | | bookmarks
Chrome | win | Ctrl+Shift+B | Show or hide the bookmarks bar | | bookmarks
Chrome | win | Ctrl+Shift+O | Bookmark manager | | bookmarks
Chrome | win | Ctrl+H | History | | navigation
